sku,warehouse_id,quantity
('UNICORN_UNILEVER_0601_2039',2379),960.0
('UNICORN_UNILEVER_0601_2039',2671),5298.0
('UNICORN_UNILEVER_0601_2039',2720),2893.0
('UNICORN_UNILEVER_0601_2039',3004),1848.0
('UNICORN_UNILEVER_0601_2040',144),103.0
('UNICORN_UNILEVER_0601_2040',2671),213.0
('UNICORN_UNILEVER_0601_2040',2720),90.0
('UNICORN_UNILEVER_0601_2042',144),4005.0
('UNICORN_UNILEVER_0601_2042',156),26197.0
('UNICORN_UNILEVER_0601_2042',2379),16954.0
('UNICORN_UNILEVER_0601_2042',2671),3516.0
('UNICORN_UNILEVER_0601_2042',2720),2592.0
('UNICORN_UNILEVER_0601_2042',3004),432.0
('UNICORN_UNILEVER_0601_2043',144),4174.0
('UNICORN_UNILEVER_0601_2043',156),2562.0
('UNICORN_UNILEVER_0601_2043',2379),1900.0
('UNICORN_UNILEVER_0601_2043',2671),1650.0
('UNICORN_UNILEVER_0601_2043',2720),4249.0
('UNICORN_UNILEVER_0601_2043',3004),189.0
('UNICORN_UNILEVER_0601_2044',144),1620.0
('UNICORN_UNILEVER_0601_2044',156),3240.0
('UNICORN_UNILEVER_0601_2044',2379),4966.0
('UNICORN_UNILEVER_0601_2044',2671),1056.0
('UNICORN_UNILEVER_0601_2044',2720),4884.0
('UNICORN_UNILEVER_0601_2044',3004),540.0
('UNICORN_UNILEVER_0601_2046',144),15835.0
('UNICORN_UNILEVER_0601_2046',156),15580.0
('UNICORN_UNILEVER_0601_2046',2379),1249.0
('UNICORN_UNILEVER_0601_2046',2671),10744.0
('UNICORN_UNILEVER_0601_2046',2720),3199.0
('UNICORN_UNILEVER_0601_2046',3004),769.0
('UNICORN_UNILEVER_0601_2047',144),14451.0
('UNICORN_UNILEVER_0601_2047',156),44400.0
('UNICORN_UNILEVER_0601_2047',2379),10455.0
('UNICORN_UNILEVER_0601_2047',2671),11071.0
('UNICORN_UNILEVER_0601_2047',2720),4309.0
('UNICORN_UNILEVER_0601_2047',3004),2182.0
('UNICORN_UNILEVER_0601_2048',144),235.0
('UNICORN_UNILEVER_0601_2048',156),973.0
('UNICORN_UNILEVER_0601_2048',2379),982.0
('UNICORN_UNILEVER_0601_2049',144),9747.0
('UNICORN_UNILEVER_0601_2049',156),7015.0
('UNICORN_UNILEVER_0601_2049',2379),2818.0
('UNICORN_UNILEVER_0601_2049',2671),4156.0
('UNICORN_UNILEVER_0601_2049',2720),2434.0
('UNICORN_UNILEVER_0601_2049',3004),1725.0
('UNICORN_UNILEVER_0601_2052',144),535.0
('UNICORN_UNILEVER_0601_2052',156),460.0
('UNICORN_UNILEVER_0601_2052',2379),63.0
('UNICORN_UNILEVER_0601_2052',2671),192.0
('UNICORN_UNILEVER_0601_2053',144),133.0
('UNICORN_UNILEVER_0601_2053',156),330.0
('UNICORN_UNILEVER_0601_2053',2379),73.0
('UNICORN_UNILEVER_0601_2053',2671),85.0
('UNICORN_UNILEVER_0601_2053',3004),48.0
('UNICORN_UNILEVER_0601_2054',144),364.0
('UNICORN_UNILEVER_0601_2054',156),331.0
('UNICORN_UNILEVER_0601_2054',2379),174.0
('UNICORN_UNILEVER_0601_2054',2671),243.0
('UNICORN_UNILEVER_0601_2054',3004),255.0
('UNICORN_UNILEVER_0601_2057',144),303.0
('UNICORN_UNILEVER_0601_2057',156),625.0
('UNICORN_UNILEVER_0601_2057',2379),201.0
('UNICORN_UNILEVER_0601_2057',2671),31.0
('UNICORN_UNILEVER_0601_2057',2720),58.0
('UNICORN_UNILEVER_0601_2057',3004),73.0
('UNICORN_UNILEVER_0601_2058',144),100.0
('UNICORN_UNILEVER_0601_2058',156),255.0
('UNICORN_UNILEVER_0601_2058',2379),132.0
('UNICORN_UNILEVER_0601_2058',2671),69.0
('UNICORN_UNILEVER_0601_2058',3004),82.0
('UNICORN_UNILEVER_0601_2059',144),6426.0
('UNICORN_UNILEVER_0601_2059',156),13468.0
('UNICORN_UNILEVER_0601_2059',2379),2173.0
('UNICORN_UNILEVER_0601_2059',2671),3733.0
('UNICORN_UNILEVER_0601_2059',3004),3960.0
('UNICORN_UNILEVER_0601_2060',144),34.0
('UNICORN_UNILEVER_0601_2060',156),252.0
('UNICORN_UNILEVER_0601_2060',2671),3.0
('UNICORN_UNILEVER_0601_2061',144),82.0
('UNICORN_UNILEVER_0601_2061',156),220.0
('UNICORN_UNILEVER_0601_2061',2671),1.0
('UNICORN_UNILEVER_0601_2062',2720),75.0
('UNICORN_UNILEVER_0601_2063',144),53593.0
('UNICORN_UNILEVER_0601_2063',2379),11833.0
('UNICORN_UNILEVER_0601_2063',2671),16897.0
('UNICORN_UNILEVER_0601_2063',2720),23044.0
('UNICORN_UNILEVER_0601_2063',3004),900.0
('UNICORN_UNILEVER_0601_2064',144),21609.0
('UNICORN_UNILEVER_0601_2064',2379),1512.0
('UNICORN_UNILEVER_060224_4725',156),1363.0
('UNICORN_UNILEVER_060224_4725',2379),2610.0
('UNICORN_UNILEVER_060224_4725',2720),1050.0
('UNICORN_UNILEVER_060224_4725',3004),360.0
('UNICORN_UNILEVER_060324_1302',156),180.0
('UNICORN_UNILEVER_060324_1304',156),6.0
('UNICORN_UNILEVER_060324_4926',2671),129.0
('UNICORN_UNILEVER_060324_4926',2720),72.0
('UNICORN_UNILEVER_060324_8179',2671),7470.0
('UNICORN_UNILEVER_060324_8179',2720),3708.0
('UNICORN_UNILEVER_060324_8179',3004),2253.0
('UNICORN_UNILEVER_070224_1001',144),70.0
('UNICORN_UNILEVER_070224_1001',156),2700.0
('UNICORN_UNILEVER_070324_2950',144),55.0
('UNICORN_UNILEVER_070324_2950',2671),312.0
('UNICORN_UNILEVER_070324_2951',2671),124.0
('UNICORN_UNILEVER_070324_7223',3004),199.0
('UNICORN_UNILEVER_070324_7224',3004),165.0
('UNICORN_UNILEVER_070324_7225',3004),3.0
('UNICORN_UNILEVER_070324_7226',2671),4.0
('UNICORN_UNILEVER_070324_7226',3004),16.0
('UNICORN_UNILEVER_070324_7227',3004),108.0
('UNICORN_UNILEVER_070324_7228',3004),201.0
('UNICORN_UNILEVER_070324_7229',3004),9.0
('UNICORN_UNILEVER_070324_7230',3004),106.0
('UNICORN_UNILEVER_070324_7231',3004),4.0
('UNICORN_UNILEVER_070823_0002',2671),2.0
('UNICORN_UNILEVER_070823_0002',2720),5.0
('UNICORN_UNILEVER_070823_0004',2671),1.0
('UNICORN_UNILEVER_070823_0005',144),3.0
('UNICORN_UNILEVER_070823_0006',144),5061.0
('UNICORN_UNILEVER_070823_0008',156),30.0
('UNICORN_UNILEVER_070823_0009',2671),2904.0
('UNICORN_UNILEVER_070823_0009',2720),45.0
('UNICORN_UNILEVER_070823_0010',144),3.0
('UNICORN_UNILEVER_070823_0010',2671),1.0
('UNICORN_UNILEVER_070823_1203',144),52863.0
('UNICORN_UNILEVER_070823_1203',2720),61.0
('UNICORN_UNILEVER_080124_0009',144),6067.0
('UNICORN_UNILEVER_080124_0009',2379),4906.0
('UNICORN_UNILEVER_080124_0009',2720),7560.0
('UNICORN_UNILEVER_080124_0011',144),216.0
('UNICORN_UNILEVER_080124_0011',2671),205.0
('UNICORN_UNILEVER_080124_0012',144),172.0
('UNICORN_UNILEVER_080124_0012',156),216.0
('UNICORN_UNILEVER_080124_0012',2379),28.0
('UNICORN_UNILEVER_080124_0012',3004),10.0
('UNICORN_UNILEVER_080124_0013',144),9.0
('UNICORN_UNILEVER_080124_0014',3004),1465.0
('UNICORN_UNILEVER_080124_0015',144),138.0
('UNICORN_UNILEVER_080124_0015',156),1098.0
('UNICORN_UNILEVER_080124_0015',3004),114.0
('UNICORN_UNILEVER_080124_0016',144),2565.0
('UNICORN_UNILEVER_080124_0016',156),3595.0
('UNICORN_UNILEVER_080124_0016',2379),1606.0
('UNICORN_UNILEVER_080124_0016',2671),2230.0
('UNICORN_UNILEVER_080124_0016',2720),568.0
('UNICORN_UNILEVER_080124_0016',3004),385.0
('UNICORN_UNILEVER_080124_0019',144),72.0
('UNICORN_UNILEVER_080124_0019',156),252.0
('UNICORN_UNILEVER_080124_1887',144),73.0
('UNICORN_UNILEVER_080124_1887',2379),1.0
('UNICORN_UNILEVER_080124_1887',2671),67.0
('UNICORN_UNILEVER_080124_1887',2720),354.0
('UNICORN_UNILEVER_080124_1888',156),951.0
('UNICORN_UNILEVER_080124_1888',3004),105.0
('UNICORN_UNILEVER_080124_1889',144),99.0
('UNICORN_UNILEVER_080124_1889',156),91.0
('UNICORN_UNILEVER_080124_1889',2671),36.0
('UNICORN_UNILEVER_080124_1889',2720),21.0
('UNICORN_UNILEVER_080124_3331',2720),1081.0
('UNICORN_UNILEVER_080124_3334',2720),6.0
('UNICORN_UNILEVER_080124_3335',144),417.0
('UNICORN_UNILEVER_080124_3335',2379),16.0
('UNICORN_UNILEVER_080124_3335',2671),306.0
('UNICORN_UNILEVER_080124_3335',2720),84.0
('UNICORN_UNILEVER_080124_3335',3004),49.0
('UNICORN_UNILEVER_080124_3341',144),274.0
('UNICORN_UNILEVER_080124_3341',156),499.0
('UNICORN_UNILEVER_080124_3341',2379),108.0
('UNICORN_UNILEVER_080124_3341',2671),73.0
('UNICORN_UNILEVER_080124_3341',2720),127.0
('UNICORN_UNILEVER_080124_3341',3004),39.0
('UNICORN_UNILEVER_080124_6389',144),231.0
('UNICORN_UNILEVER_080124_6389',156),378.0
('UNICORN_UNILEVER_080124_6389',2671),129.0
('UNICORN_UNILEVER_080124_6390',144),1008.0
('UNICORN_UNILEVER_080124_6390',2379),114.0
('UNICORN_UNILEVER_080124_6390',2671),72.0
('UNICORN_UNILEVER_080124_6391',144),5622.0
('UNICORN_UNILEVER_080124_6391',156),2572.0
('UNICORN_UNILEVER_080124_6391',2379),13239.0
('UNICORN_UNILEVER_080124_6391',2671),4525.0
('UNICORN_UNILEVER_080124_6391',2720),5301.0
